Run	Barcode	Sample_ID	Dataset	Notes
ONT_skin1_test	barcode10	LF1A_cont		"Skin microbiome sample collected from left forearm position 1 for skin microbiome testing run 1, concentrated DNA extraction"
ONT_skin1_test	barcode11	LF2A_cont		"Skin microbiome sample collected from left forearm position 2 for skin microbiome testing run 1, concentrated DNA extraction"
ONT_skin2_adap1	barcode01	LF1D_adap1		
ONT_skin2_adap1	barcode02	LF2D_adap1		
ONT_skin2_adap1	barcode03	LF3D_adap1		
ONT_skin2_adap1	barcode04	RF1D_adap1		
ONT_skin2_adap1	barcode05	RF2D_adap1		
ONT_skin2_adap1	barcode06	RF3D_adap1		
ONT_skin2_adap1	barcode07	HM1C_adap1		
ONT_skin2_adap1	barcode08	HM2C_adap1		
ONT_skin2_adap1	barcode09	HM3C_adap1		
ONT_skin2_adap1	barcode10	HM4C_adap1		
ONT_skin2_adap1	barcode11	PC1C_adap1		
ONT_skin2_adap2	barcode01	LF1D_adap2		
ONT_skin2_adap2	barcode02	LF2D_adap2		
ONT_skin2_adap2	barcode03	LF3D_adap2		
ONT_skin2_adap2	barcode04	RF1D_adap2		
ONT_skin2_adap2	barcode05	RF2D_adap2		
ONT_skin2_adap2	barcode06	RF3D_adap2		
ONT_skin2_adap2	barcode07	HM1C_adap2		
ONT_skin2_adap2	barcode08	HM2C_adap2		
ONT_skin2_adap2	barcode09	HM3C_adap2		
ONT_skin2_adap2	barcode10	HM4C_adap2		
ONT_skin2_adap2	barcode11	PC1C_adap2		
ONT_skin2_adap3	barcode01	LF1D_adap3		
ONT_skin2_adap3	barcode02	LF2D_adap3		
ONT_skin2_adap3	barcode03	LF3D_adap3		
ONT_skin2_adap3	barcode04	RF1D_adap3		
